idx,tweet_id,timestamp,sentiment
168592,987715863561170944,2018-04-21 23:33:07 +08,neutral
66346,1328355098813140995,2020-11-16 23:11:49 +08,neutral
376283,661486449234190336,2015-11-03 18:13:53 +08,neutral
190521,917810330675400704,2017-10-11 01:53:29 +08,positive
197797,905961208934694913,2017-09-08 09:09:18 +08,neutral
394180,639784274460307456,2015-09-04 20:57:12 +08,neutral
113379,1172888044644552706,2019-09-14 23:01:15 +08,neutral
356926,673599811929681920,2015-12-07 04:28:04 +08,neutral
216072,870036718916743168,2017-06-01 05:58:12 +08,neutral
451305,569265798742564864,2015-02-22 06:41:57 +08,neutral
264682,809111798188109824,2016-12-15 03:04:19 +08,positive
456901,563139711439761408,2015-02-05 08:59:04 +08,neutral
534434,408647178262163456,2013-12-06 01:20:54 +08,positive
333461,720928679082102784,2016-04-15 18:56:05 +08,neutral
449268,576756391831982080,2015-03-14 22:46:54 +08,positive
327566,729843937041481728,2016-05-10 09:22:09 +08,neutral
530245,410095582267858944,2013-12-10 01:16:20 +08,positive
521328,425306745477799936,2014-01-21 00:40:04 +08,neutral
510256,443248877966479360,2014-03-11 12:55:42 +08,neutral
74610,1301470214803120129,2020-09-03 18:40:54 +08,neutral
251082,814749008879058944,2016-12-30 16:24:35 +08,neutral
88561,1254124283464503302,2020-04-26 03:05:04 +08,neutral
5860,1576921836649996288,2022-10-03 21:07:18 +08,neutral
123021,1139076146455179264,2019-06-13 15:44:50 +08,neutral
90298,1249708757380022278,2020-04-13 22:39:20 +08,negative
174965,971815319789625344,2018-03-09 02:30:02 +08,neutral
285186,779923343654858752,2016-09-25 13:59:50 +08,neutral
61648,1349746988955254790,2021-01-14 23:55:33 +08,neutral
52308,1388825809859796994,2021-05-02 20:00:50 +08,neutral
37279,1452556781817794568,2021-10-25 16:44:58 +08,neutral
535879,408394068553519104,2013-12-05 08:35:08 +08,neutral
333882,720008806416125953,2016-04-13 06:00:51 +08,neutral
89250,1252569644499599361,2020-04-21 20:07:29 +08,neutral
251228,814739607908556801,2016-12-30 15:47:14 +08,neutral
163442,1004995982239490049,2018-06-08 15:58:08 +08,negative
111830,1176533999650521088,2019-09-25 00:28:59 +08,neutral
263189,809164010696376320,2016-12-15 06:31:48 +08,neutral
539630,408009797452038144,2013-12-04 07:08:10 +08,neutral
186274,930423878903615494,2017-11-14 21:15:13 +08,neutral
514945,433631764574384128,2014-02-13 00:00:43 +08,neutral
397200,631541467778056192,2015-08-13 03:03:14 +08,neutral
128655,1126854855472099329,2019-05-10 22:21:48 +08,neutral
551735,407651557665017857,2013-12-03 07:24:39 +08,positive
510274,443198082248101888,2014-03-11 09:33:51 +08,neutral
183891,939102425163628544,2017-12-08 20:00:40 +08,neutral
467005,533301839652200448,2014-11-15 00:54:01 +08,neutral
476024,508980337763168256,2014-09-08 22:09:03 +08,neutral
559495,407555736126771200,2013-12-03 01:03:54 +08,neutral
134653,1116395808138592256,2019-04-12 01:41:16 +08,neutral
498784,483730288779210753,2014-07-01 05:54:22 +08,neutral
